id,created_at,text,favorite_count,retweet_count
937789659341578241,2017-12-04,b'Via @SmartIndustryUS: Learn how our focus on customers is driving our digital transformation:\xe2\x80\xa6 https://t.co/dV2pHwweuU',23,4
937712624237674497,2017-12-04,b'Our machines have been working in the logging industry for over 100 years. Find out how they were used in Africa st\xe2\x80\xa6 https://t.co/P55ZDdaWlF',50,7
937659533744312324,2017-12-04,"b""Congrats to our team members in Curitiba, Brazil, who recently manufactured the facility's 250,000th engine!\xe2\x80\xa6 https://t.co/DfwKo9cxDO""",39,9
937411136567369729,2017-12-03,b'Cat machines help Case Snow Management tackle winter: https://t.co/IzVjxLP0r3 https://t.co/JZ8Zord9CB',52,9
936929461668384769,2017-12-02,"b'Find out how the Caterpillar D17000, the first diesel engine designed specifically for non-tractor applications, tr\xe2\x80\xa6 https://t.co/Z30S02kT2w'",32,13
936789036445732864,2017-12-02,"b'See work mottos from Craig, Red, Chuck, Bill and Allen \xe2\x80\x93 some of our team members who have worked at Caterpillar fo\xe2\x80\xa6 https://t.co/9hupo4cxEK'",14,1
936676800435978241,2017-12-01,"b""Congrats to our team members in Curitiba, Brazil, who recently manufactured the facility's 250,000th engine!\xe2\x80\xa6 https://t.co/ecNlgbBCfD""",28,6
936610877020758016,2017-12-01,b'Cat machines help Case Snow Management tackle winter: https://t.co/2iTKrMiXt5 https://t.co/OaaXhRXXkE',33,6
936414816658493440,2017-12-01,"b'Find out how the Caterpillar D17000, the first diesel engine designed specifically for non-tractor applications, tr\xe2\x80\xa6 https://t.co/0RUGEwBBR0'",25,6
936334791317876738,2017-11-30,"b'See work mottos from Craig, Red, Chuck, Bill and Allen \xe2\x80\x93 some of our team members who have worked at Caterpillar fo\xe2\x80\xa6 https://t.co/nbWjSI0JLD'",9,1
936298050691260417,2017-11-30,"b""Congrats to our team members in Curitiba, Brazil, who recently manufactured the facility's 250,000th engine!\xe2\x80\xa6 https://t.co/a74Ltn8Tqv""",49,13
936234394095947777,2017-11-30,"b'@Marina_1390 In order for us to properly assist you, can you please provide more information on the nature of your request?'",0,0
936047148461850624,2017-11-30,"b'In this video, see how Cat GC models are a real game changer for some customers: https://t.co/yzqCPOLWzp https://t.co/aUmn7LDTlA'",44,13
935930380334567426,2017-11-29,"b'Find out how the Caterpillar D17000, the first diesel engine designed specifically for non-tractor applications, tr\xe2\x80\xa6 https://t.co/j67askSF3D'",51,16
935563459122561024,2017-11-28,"b'See work mottos from Craig, Red, Chuck, Bill and Allen \xe2\x80\x93 some of our team members who have worked at Caterpillar fo\xe2\x80\xa6 https://t.co/lwjZDdCFDc'",11,9
935334968942833665,2017-11-28,"b'When @RCRracing driver @RyanJNewman &amp; his family aren\xe2\x80\x99t at the track, they\xe2\x80\x99re surrounded by kids, animals &amp; of cour\xe2\x80\xa6 https://t.co/wuXlFHN7eA'",53,6
935185287231299584,2017-11-27,b'@MickHOCKey1 We agree -- she has great taste! Thanks for sharing your pictures!',1,0
935184380506640385,2017-11-27,b'@DeanMur67092809 Hi Jack! The Holt 77 was a prototype designed for agricultural purposes (like plowing and pulling combine harvesters).',1,0
935174150854987777,2017-11-27,"b'Find out how the Caterpillar D17000, the first diesel engine designed specifically for non-tractor applications, tr\xe2\x80\xa6 https://t.co/sWVdCljP2t'",50,23
935141180559495168,2017-11-27,"b'In this video, see how Cat GC models are a real game changer for some customers: https://t.co/oCYbHUPOeF https://t.co/3dy8D7URcZ'",59,13
934564894447370240,2017-11-25,"b'When @RCRracing driver @RyanJNewman &amp; his family aren\xe2\x80\x99t at the track, they\xe2\x80\x99re surrounded by kids, animals &amp; of cour\xe2\x80\xa6 https://t.co/iVCOiMcvFO'",78,7
934463467460943872,2017-11-25,b'Top 10 tips to grow a more profitable #landscaping business in the latest #OnTheLevel blog. https://t.co/qm16VAn90X https://t.co/NjQV1UE3mx',16,13
934172302069129216,2017-11-24,"b'In this video, see how Cat GC models are a real game changer for some customers: https://t.co/NvIvrZktUJ https://t.co/W9R6Hv4b76'",40,6
