id,created_at,text,favorite_count,retweet_count
913502906845769728,2017-09-28,"b'Anu Nadella opens up about her son\'s disability, which taught her and her family the ""empowering art of kindness."" https://t.co/6Lia7O0PEn'",322,109
913449670092873728,2017-09-28,"b"".@NPR considers the impact of empathy on tech with a look at Satya Nadella's just-released book, #HitRefresh. https://t.co/lHtiGrHrwc""",189,80
913179206892216321,2017-09-27,"b"".@GoodHouseMag talked to Satya and Anu about his book #HitRefresh and the source of Satya's empathy - his family.https://t.co/Y5ce1UkaqI""",187,70
913145177136545792,2017-09-27,"b'@MIMCRM Thank you for your contributions to the tech community as a Microsoft MVP, Mohamed.'",3,19
913139262463270912,2017-09-27,b'@mathew_jaya Awesome \xf0\x9f\x98\x8a',2,19
913122876311654401,2017-09-27,b'Microsoft CEO @SatyaNadella joins @richardquest on @questCNN on CNN International at 4PM ET today. Tune in \xf0\x9f\x93\xba https://t.co/DR66oQUbhl',167,71
913093441038381056,2017-09-27,b'@__S @satyanadella Happy reading \xf0\x9f\x93\x9a',1,19
912839096959098880,2017-09-27,b'Hit Refresh by Satya Nadella is Available Now\n\nhttps://t.co/CzhwmaFRDX',468,216
912823016652001280,2017-09-26,"b'""The identity of who we are is that we make technology that lets other people make technology."" @satyanadella at #TimesTalks'",129,64
912814967879020544,2017-09-26,b'Tune in now for @TimesTalks with @SatyaNadella and @RBlumenstein discussing themes from #HitRefresh\xe2\x80\xa6 https://t.co/vBSVrb3D7p',85,44
912811670036033536,2017-09-26,b'Microsoft Ignite 2017: Day 2\n\nhttps://t.co/doos7GwzrT',224,130
912793020050714625,2017-09-26,b'@nicolelamb @satyanadella Thank you for your hard work all these years. Enjoy reading \xf0\x9f\x93\x9a',1,14
912752238447099904,2017-09-26,b'@TerryEdwards519 Definite score. \xf0\x9f\xa7\xa6',1,13
912727463414816768,2017-09-26,b'@SteveSeow Thank you for your 12 years and 20 days of contributions to the company!',1,14
912727084035850240,2017-09-26,"b""@KelvinTegelaar Be still my beating heart \xf0\x9f\x92\x93 We're glad you're excited about what's been announced!""",2,14
912710526777491456,2017-09-26,"b""@robertoy We're happy to hear it, Roberto! How are you enjoying #MSIgnite so far?""",1,15
